Facultad;jornada;modalidad;programa;estrato;Genero;Departamento;origenacademico
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACIï¿½ï¿½N EN SALUD OCUPACIONAL Y PREVENCIï¿½ï¿½N DE RIESGOS L;;M;15-BOYACA;2-SIN DATOS
CIENCIAS AGROPECUARIAS;Diurna;Presencial;MEDICINA VETERINARIA Y ZOOTECNIA;1;M;15-BOYACA;15001-TUNJA
CIENCIAS DE LA SALUD;Otra;Otra;ESPECIALIZACION EN SALUD OCUPACIONAL  Y PROTECCION  DE RIESGOS LABORALES;;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Otra;MAESTRIA EN LINGUISTICA;;F;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;2;F;25-CUNDINAMARCA;15599-RAMIRIQUI
CIENCIAS DE LA SALUD;Diurna;Presencial;MEDICINA;3;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;81-ARAUCA;81001-ARAUCA
CIENCIAS;Diurna;Presencial;BIOLOGIA;2;F;15-BOYACA;15759-SOGAMOSO
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD;3;F;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION DE SERVICIOS DE SALUD;1;F;68-SANTANDER;68266-ENCISO
CIENCIAS AGROPECUARIAS;Diurna;Presencial;MEDICINA VETERINARIA Y ZOOTECNIA;1;M;68-SANTANDER;81736-SARAVENA
SECCIONAL DUITAMA;Diurna;Presencial;INGENIERIA ELECTROMECANICA;1;M;63-QUINDIO;85010-AGUAZUL
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;25-CUNDINAMARCA;25535-PASCA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LIC. EN PSICOPEDAGOGIA ENFASIS ASESORIA EDUCATIVA;1;F;15-BOYACA;15442-MARIPI
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA GEOLOGICA;2;F;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION COMERCIAL Y FINANCIERA;1;F;15-BOYACA;15172-CHINAVITA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Diurna;Presencial;ADMINISTRACION DE EMPRESAS;2;M;68-SANTANDER;68861-VELEZ
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;50-META;50006-ACACIAS
CIENCIAS;Diurna;Presencial;FISICA;2;M;15-BOYACA;15879-VIRACACHA
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN ARCHIVISTICA;;F;25-CUNDINAMARCA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN MERCADEO AGROPECUARIO;2;M;68-SANTANDER;11001-BOGOTï¿½ï¿
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;1;F;15-BOYACA;15660-SAN EDUARDO
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;CONTADURIA PUBLICA;1;M;15-BOYACA;15001-TUNJA
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;15-BOYACA;15189-CIENEGA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN LENGUAS EXTRANJERAS;2;F;44-LA GUAJIRA;44430-MAICAO
CIENCIAS DE LA EDUCACION;Nocturna;Presencial;LICENCIATURA EN MATEMATICAS;2;M;15-BOYACA;15806-TIBASOSA
SECCIONAL SOGAMOSO;Nocturna;Presencial;ADMINISTRACION DE EMPRESAS;3;F;81-ARAUCA;15223-CUBARA
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;M;15-BOYACA;15759-SOGAMOSO
SECCIONAL SOGAMOSO;Diurna;Presencial;CONTADURIA PUBLICA;2;M;15-BOYACA;15759-SOGAMOSO
SECCIONAL DUITAMA;Diurna;Presencial;ADMINISTRACION INDUSTRIAL;2;F;15-BOYACA;15516-PAIPA
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACIï¿½ï¿½N EN SALUD OCUPACIONAL Y PREVENCIï¿½ï¿½N DE RIESGOS L;;M;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA SALUD;Diurna;Presencial;MEDICINA;3;M;15-BOYACA;15001-TUNJA
INGENIERIA;Otra;Otra;ESPECIALIZACION EN ENSAYOS NO DESTRUCTIVOS;;M;11-SANTA FE DE BOGOTA D.C;2-SIN DATOS
SECCIONAL SOGAMOSO;Nocturna;Presencial;ADMINISTRACION DE EMPRESAS;1;F;15-BOYACA;81794-TAME
ESTUDIOS A DISTANCIA;Otra;Otra;ESPECIALIZACION EN DIDACTICA DE LA MATEMATICA PARA LA EDUCACION BASICA;;M;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS AGROPECUARIAS;Otra;Otra;MAESTRIA EN FISIOLOGIA VEGETAL;;M;25-CUNDINAMARCA;2-SIN DATOS
INGENIERIA;Diurna;Presencial;INGENIERIA AMBIENTAL;2;F;15-BOYACA;15001-TUNJA
INGENIERIA;Diurna;Presencial;INGENIERIA DE SISTEMAS Y COMPUTACION;2;M;15-BOYACA;15759-SOGAMOSO
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;2;M;15-BOYACA;85300-SABANALARGA
CIENCIAS;Diurna;Presencial;QUIMICA;2;F;15-BOYACA;15759-SOGAMOSO
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;2;M;15-BOYACA;15837-TUTA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;CONTADURIA PUBLICA;1;M;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN ELECTRICIDAD;1;M;15-BOYACA;15204-COMBITA
CIENCIAS DE LA EDUCACION;Otra;Presencial;LICENCIATURA EN FILOSOFIA;3;F;15-BOYACA;15001-TUNJA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;CONTADURIA PUBLICA;3;F;15-BOYACA;15759-SOGAMOSO
